Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
186,"20001, Northwest Washington, Washington",224,"2400 Wagner Street Southeast, Southeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1310,913,1879,10013
186,"20001, Northwest Washington, Washington",225,"2200 Chester Street Southeast, Southeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",956,656,1392,7526
186,"20001, Northwest Washington, Washington",226,"2800 Upton Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1227,926,1625,6367
186,"20001, Northwest Washington, Washington",227,"2500 Pomeroy Road Southeast, Southeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1063,706,1600,9533
186,"20001, Northwest Washington, Washington",228,"1200 24th Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",710,498,1010,3107
186,"20001, Northwest Washington, Washington",229,"3900 Clay Place Northeast, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1356,1018,1805,11249
186,"20001, Northwest Washington, Washington",230,"0 Olmsted Walk, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",958,709,1294,4313
186,"20001, Northwest Washington, Washington",231,"4300 Russell Avenue, Mount Rainier","07/31/2016 - 08/28/2016, Every day, Daily Average",1401,1093,1795,6687
186,"20001, Northwest Washington, Washington",232,"5100 Rockwood Parkway Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1402,1067,1841,8830
186,"20001, Northwest Washington, Washington",233,"600 10th Street Northeast, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",773,560,1065,4031
186,"20001, Northwest Washington, Washington",234,"0 Discovery Communications, Discovery Place, Downtown Silver Spring, Silver Spring","07/31/2016 - 08/28/2016, Every day, Daily Average",1841,1478,2292,10678
186,"20001, Northwest Washington, Washington",235,"600 Anacostia Avenue Northeast, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1004,696,1446,13324
186,"20001, Northwest Washington, Washington",236,"0 Cleveland Avenue, Takoma Park","07/31/2016 - 08/28/2016, Every day, Daily Average",1767,1407,2218,9076
186,"20001, Northwest Washington, Washington",237,"1400 Montague Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1359,1069,1727,6032
186,"20001, Northwest Washington, Washington",238,"3100 Erie Street Southeast, Southeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1176,815,1695,10678
186,"20001, Northwest Washington, Washington",239,"5400 30th Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1519,1200,1922,8806
186,"20001, Northwest Washington, Washington",240,"1500 17th Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",502,327,769,2064
186,"20001, Northwest Washington, Washington",241,"3900 Massachusetts Avenue Southeast, Southeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1226,853,1760,10570
186,"20001, Northwest Washington, Washington",242,"5400 Duvall Drive, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",1533,1211,1939,9653
186,"20001, Northwest Washington, Washington",243,"1400 Anacostia Avenue Northeast, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1076,753,1536,9838
186,"20001, Northwest Washington, Washington",244,"1300 South Hayes Street, Aurora Highlands, Arlington","07/31/2016 - 08/28/2016, Every day, Daily Average",691,475,1005,9501
186,"20001, Northwest Washington, Washington",246,"Anacostia Riverwalk Trail, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1068,773,1474,12447
186,"20001, Northwest Washington, Washington",247,"5700 Marlboro Pike, District Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1543,1127,2111,14863
186,"20001, Northwest Washington, Washington",248,"2300 California Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",849,610,1180,3099
186,"20001, Northwest Washington, Washington",250,"3000 Oxon Park Street, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1139,825,1571,11840
186,"20001, Northwest Washington, Washington",252,"1900 23rd Street Southeast, Southeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1094,760,1573,9348
186,"20001, Northwest Washington, Washington",253,"7200 Arrowhead Drive, Upper Marlboro","07/31/2016 - 08/28/2016, Every day, Daily Average",1887,1465,2429,26998
186,"20001, Northwest Washington, Washington",254,"7700 Greentree Road, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",1622,1264,2081,32578
