"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1844","Sydney - Haymarket - The Rocks (1844)","1834","Sydney - Haymarket - The Rocks (1834)","07/31/2016 - 08/28/2016, Every day, Daily Average",67,19,229
"1844","Sydney - Haymarket - The Rocks (1844)","1835","Sydney - Haymarket - The Rocks (1835)","07/31/2016 - 08/28/2016, Every day, Daily Average",100,40,246
"1844","Sydney - Haymarket - The Rocks (1844)","1836","Sydney - Haymarket - The Rocks (1836)","07/31/2016 - 08/28/2016, Every day, Daily Average",133,62,281
"1844","Sydney - Haymarket - The Rocks (1844)","1837","Sydney - Haymarket - The Rocks (1837)","07/31/2016 - 08/28/2016, Every day, Daily Average",164,86,309
"1844","Sydney - Haymarket - The Rocks (1844)","1838","Sydney - Haymarket - The Rocks (1838)","07/31/2016 - 08/28/2016, Every day, Daily Average",190,105,342
"1844","Sydney - Haymarket - The Rocks (1844)","1839","Sydney - Haymarket - The Rocks (1839)","07/31/2016 - 08/28/2016, Every day, Daily Average",232,128,419
"1844","Sydney - Haymarket - The Rocks (1844)","1840","Sydney - Haymarket - The Rocks (1840)","07/31/2016 - 08/28/2016, Every day, Daily Average",424,290,618
"1844","Sydney - Haymarket - The Rocks (1844)","1841","Sydney - Haymarket - The Rocks (1841)","07/31/2016 - 08/28/2016, Every day, Daily Average",148,49,440
"1844","Sydney - Haymarket - The Rocks (1844)","1842","Sydney - Haymarket - The Rocks (1842)","07/31/2016 - 08/28/2016, Every day, Daily Average",91,33,248
"1844","Sydney - Haymarket - The Rocks (1844)","1843","Sydney - Haymarket - The Rocks (1843)","07/31/2016 - 08/28/2016, Every day, Daily Average",51,15,165
"1844","Sydney - Haymarket - The Rocks (1844)","1845","Sydney - Haymarket - The Rocks (1845)","07/31/2016 - 08/28/2016, Every day, Daily Average",44,13,144
"1844","Sydney - Haymarket - The Rocks (1844)","1846","Sydney - Haymarket - The Rocks (1846)","07/31/2016 - 08/28/2016, Every day, Daily Average",90,34,232
"1844","Sydney - Haymarket - The Rocks (1844)","1847","Sydney - Haymarket - The Rocks (1847)","07/31/2016 - 08/28/2016, Every day, Daily Average",137,64,290
"1844","Sydney - Haymarket - The Rocks (1844)","1848","Sydney - Haymarket - The Rocks (1848)","07/31/2016 - 08/28/2016, Every day, Daily Average",171,86,336
"1844","Sydney - Haymarket - The Rocks (1844)","1849","Sydney - Haymarket - The Rocks (1849)","07/31/2016 - 08/28/2016, Every day, Daily Average",203,106,388
"1844","Sydney - Haymarket - The Rocks (1844)","1850","Sydney - Haymarket - The Rocks (1850)","07/31/2016 - 08/28/2016, Every day, Daily Average",377,241,588
"1844","Sydney - Haymarket - The Rocks (1844)","1851","Sydney - Haymarket - The Rocks (1851)","07/31/2016 - 08/28/2016, Every day, Daily Average",168,84,332
"1844","Sydney - Haymarket - The Rocks (1844)","1852","Sydney - Haymarket - The Rocks (1852)","07/31/2016 - 08/28/2016, Every day, Daily Average",205,67,619
"1844","Sydney - Haymarket - The Rocks (1844)","1853","Sydney - Haymarket - The Rocks (1853)","07/31/2016 - 08/28/2016, Every day, Daily Average",116,50,265
"1844","Sydney - Haymarket - The Rocks (1844)","1854","Sydney - Haymarket - The Rocks (1854)","07/31/2016 - 08/28/2016, Every day, Daily Average",98,38,247
"1844","Sydney - Haymarket - The Rocks (1844)","1855","Sydney - Haymarket - The Rocks (1855)","07/31/2016 - 08/28/2016, Every day, Daily Average",79,26,235
"1844","Sydney - Haymarket - The Rocks (1844)","1856","Sydney - Haymarket - The Rocks (1856)","07/31/2016 - 08/28/2016, Every day, Daily Average",61,17,212
"1844","Sydney - Haymarket - The Rocks (1844)","1857","Sydney - Haymarket - The Rocks (1857)","07/31/2016 - 08/28/2016, Every day, Daily Average",199,57,685
"1844","Sydney - Haymarket - The Rocks (1844)","1858","Sydney - Haymarket - The Rocks (1858)","07/31/2016 - 08/28/2016, Every day, Daily Average",323,122,849
"1844","Sydney - Haymarket - The Rocks (1844)","1859","Sydney - Haymarket - The Rocks (1859)","07/31/2016 - 08/28/2016, Every day, Daily Average",271,129,566
"1844","Sydney - Haymarket - The Rocks (1844)","1860","Sydney - Haymarket - The Rocks (1860)","07/31/2016 - 08/28/2016, Every day, Daily Average",282,138,572
"1844","Sydney - Haymarket - The Rocks (1844)","1861","Sydney - Haymarket - The Rocks (1861)","07/31/2016 - 08/28/2016, Every day, Daily Average",310,175,547
"1844","Sydney - Haymarket - The Rocks (1844)","1862","Sydney - Haymarket - The Rocks (1862)","07/31/2016 - 08/28/2016, Every day, Daily Average",361,230,564
"1844","Sydney - Haymarket - The Rocks (1844)","1863","Sydney - Haymarket - The Rocks (1863)","07/31/2016 - 08/28/2016, Every day, Daily Average",161,77,332
"1844","Sydney - Haymarket - The Rocks (1844)","1864","Sydney - Haymarket - The Rocks (1864)","07/31/2016 - 08/28/2016, Every day, Daily Average",258,138,479
"1844","Sydney - Haymarket - The Rocks (1844)","1865","Sydney - Haymarket - The Rocks (1865)","07/31/2016 - 08/28/2016, Every day, Daily Average",305,140,662
"1844","Sydney - Haymarket - The Rocks (1844)","1866","Sydney - Haymarket - The Rocks (1866)","07/31/2016 - 08/28/2016, Every day, Daily Average",382,202,719
"1844","Sydney - Haymarket - The Rocks (1844)","1867","Sydney - Haymarket - The Rocks (1867)","07/31/2016 - 08/28/2016, Every day, Daily Average",373,194,716
"1844","Sydney - Haymarket - The Rocks (1844)","1868","Sydney - Haymarket - The Rocks (1868)","07/31/2016 - 08/28/2016, Every day, Daily Average",358,207,617
