Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (meters)
1116,"Harborwalk, Waterfront, Boston",206,"0 Claremon Street, Teele Square, Somerville","07/31/2016 - 08/28/2016, Every day, Daily Average",1184,864,1622,12633
1116,"Harborwalk, Waterfront, Boston",207,"0 Museum Way, East Cambridge, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",469,221,995,2655
1116,"Harborwalk, Waterfront, Boston",208,"0 Jefferson Street, Wellington-Harrington, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",861,579,1279,4111
1116,"Harborwalk, Waterfront, Boston",209,"100 Magazine Street, Cambridgeport, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",1004,694,1451,8172
1116,"Harborwalk, Waterfront, Boston",210,"0 Cowperthwaite Garage, Cowperthwaite Street, Riverside, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",1001,677,1479,9366
1116,"Harborwalk, Waterfront, Boston",211,"0 Haskell Street, North Cambridge, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",1304,971,1749,13674
1116,"Harborwalk, Waterfront, Boston",212,"100 Claremont Avenue, Arlington","07/31/2016 - 08/28/2016, Every day, Daily Average",1277,978,1667,17637
1116,"Harborwalk, Waterfront, Boston",213,"0 Gorham Road, Belmont","07/31/2016 - 08/28/2016, Every day, Daily Average",1441,1069,1941,14570
1116,"Harborwalk, Waterfront, Boston",214,"0 Valley View Road, Weston","07/31/2016 - 08/28/2016, Every day, Daily Average",1796,1453,2219,30572
1116,"Harborwalk, Waterfront, Boston",215,"0 Rose Avenue, Watertown","07/31/2016 - 08/28/2016, Every day, Daily Average",1313,1034,1666,17292
1116,"Harborwalk, Waterfront, Boston",216,"200 Cabot Street, Newtonville, Newton","07/31/2016 - 08/28/2016, Every day, Daily Average",1334,901,1974,15894
1116,"Harborwalk, Waterfront, Boston",217,"0 Hartford Street, Natick","07/31/2016 - 08/28/2016, Every day, Daily Average",1982,1594,2463,35570
1116,"Harborwalk, Waterfront, Boston",220,"100 Coolidge Street, North Brookline, Brookline","07/31/2016 - 08/28/2016, Every day, Daily Average",1222,896,1666,8845
1116,"Harborwalk, Waterfront, Boston",221,"0 Colbourne Crescent, Aspinwall Hill, Brookline","07/31/2016 - 08/28/2016, Every day, Daily Average",1309,954,1794,9706
1116,"Harborwalk, Waterfront, Boston",222,"0 Walnut Place, High Street Hill, Brookline","07/31/2016 - 08/28/2016, Every day, Daily Average",1298,940,1791,10208
1116,"Harborwalk, Waterfront, Boston",223,"0 Berkshire Road, Babson Park, Wellesley","07/31/2016 - 08/28/2016, Every day, Daily Average",1754,1353,2272,30672
1116,"Harborwalk, Waterfront, Boston",225,"0 Longmeadow Drive, Westwood","07/31/2016 - 08/28/2016, Every day, Daily Average",2058,1626,2604,37498
1116,"Harborwalk, Waterfront, Boston",226,"0 Everett Avenue, Norwood","07/31/2016 - 08/28/2016, Every day, Daily Average",2038,1635,2539,37135
1116,"Harborwalk, Waterfront, Boston",227,"1100 Commonwealth Avenue, Allston, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",1174,831,1657,8857
1116,"Harborwalk, Waterfront, Boston",228,"200 Central Avenue, Milton","07/31/2016 - 08/28/2016, Every day, Daily Average",1236,877,1740,16998
1116,"Harborwalk, Waterfront, Boston",229,"100 Main Street, Quincy","07/31/2016 - 08/28/2016, Every day, Daily Average",1489,1093,2028,19231
1116,"Harborwalk, Waterfront, Boston",230,"0 Saddle Row, Plainville","07/31/2016 - 08/28/2016, Every day, Daily Average",2727,2066,3599,64659
1116,"Harborwalk, Waterfront, Boston",232,"0 Free Street, Hingham","07/31/2016 - 08/28/2016, Every day, Daily Average",1974,1567,2485,36086
1116,"Harborwalk, Waterfront, Boston",237,"Fall River Expressway, Brockton","07/31/2016 - 08/28/2016, Every day, Daily Average",2028,1535,2679,42182
1116,"Harborwalk, Waterfront, Boston",241,"100 Colborne Road, Brighton, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",1413,1094,1823,11964
1116,"Harborwalk, Waterfront, Boston",242,"0 Park Street, Charlestown, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",414,260,657,2446
1116,"Harborwalk, Waterfront, Boston",243,"0 San Juan Street, South End, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",716,476,1075,5646
