"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"9","Arc de triomphe du Carrousel, Paris","4028","0 Impasse du Pilier, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1818,1244,2656
"9","Arc de triomphe du Carrousel, Paris","4030","0 Impasse de Châteaudun, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1860,1385,2497
"9","Arc de triomphe du Carrousel, Paris","4032","7100 Rue de la Barbacane, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1950,1340,2836
"9","Arc de triomphe du Carrousel, Paris","4033","Avenue Roger Salengro, La Courneuve","09/03/2016 - 10/01/2016, Every day, Daily Average",1823,1248,2661
"9","Arc de triomphe du Carrousel, Paris","4034","0 Rue Pierre Giffard, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1850,1268,2697
"9","Arc de triomphe du Carrousel, Paris","4035","0 Rue de la Confluence, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",2009,1472,2740
"9","Arc de triomphe du Carrousel, Paris","4036","0 Impasse Trezel, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1743,1172,2591
"9","Arc de triomphe du Carrousel, Paris","4041","0 Rue Baudet, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1862,1291,2684
"9","Arc de triomphe du Carrousel, Paris","4042","A86, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1931,1302,2862
"9","Arc de triomphe du Carrousel, Paris","4046","0 Rue Jean-Jacques Rousseau, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1960,1335,2876
"9","Arc de triomphe du Carrousel, Paris","4049","Rue des Trémies, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",2382,1491,3804
"9","Arc de triomphe du Carrousel, Paris","4052","0 Rue Jean Cocteau, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1866,1323,2630
"9","Arc de triomphe du Carrousel, Paris","4054","0 Rue de la Liberté, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",2044,1455,2870
"9","Arc de triomphe du Carrousel, Paris","4056","0 Boulevard de la Libération, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1930,1346,2765
"9","Arc de triomphe du Carrousel, Paris","4057","0 Rue du Fort de l'Est, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1909,1322,2755
"9","Arc de triomphe du Carrousel, Paris","4059","0 Rue du 19 Mars 1962, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1914,1429,2562
"9","Arc de triomphe du Carrousel, Paris","4061","0 Rue du Fort de la Briche, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",2010,1471,2746
"9","Arc de triomphe du Carrousel, Paris","4063","0 Rue Samson, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1829,1282,2608
"9","Arc de triomphe du Carrousel, Paris","4066","0 Rue Georges Politzer, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",2014,1423,2849
"9","Arc de triomphe du Carrousel, Paris","4067","0 Impasse Compoint, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1692,1184,2417
"9","Arc de triomphe du Carrousel, Paris","4068","0 Rue Jean Martin, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1933,1500,2490
"9","Arc de triomphe du Carrousel, Paris","4069","0 Rue Ardouin, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1762,1270,2442
"9","Arc de triomphe du Carrousel, Paris","4070","0 Rue Soubise, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1756,1293,2383
"9","Arc de triomphe du Carrousel, Paris","4071","0 Rue Ernest Renan, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1603,1129,2275
"9","Arc de triomphe du Carrousel, Paris","4072","0 Rue Edouard Vaillant, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1377,991,1911
"9","Arc de triomphe du Carrousel, Paris","4073","0 Rue Jules Vallès, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1694,1174,2443
"9","Arc de triomphe du Carrousel, Paris","4074","0 Impasse Louis, Saint-Denis","09/03/2016 - 10/01/2016, Every day, Daily Average",1875,1376,2554
"9","Arc de triomphe du Carrousel, Paris","4075","0 Rue Dieumegard, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1850,1283,2666
"9","Arc de triomphe du Carrousel, Paris","4076","D22, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1744,1174,2589
"9","Arc de triomphe du Carrousel, Paris","4077","0 Rue Jean, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1545,1070,2230
"9","Arc de triomphe du Carrousel, Paris","4078","0 Avenue du Capitaine Glarner, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1478,1042,2095
"9","Arc de triomphe du Carrousel, Paris","4079","Avenue du Rond-Point, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1915,1290,2841
"9","Arc de triomphe du Carrousel, Paris","4080","0 Rue Marie Curie, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1693,1125,2547
"9","Arc de triomphe du Carrousel, Paris","4081","Passage Lacour, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1482,1097,2000
"9","Arc de triomphe du Carrousel, Paris","4082","0 Avenue Michelet, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1970,1340,2895
"9","Arc de triomphe du Carrousel, Paris","4083","0 Avenue Frayce, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1797,1286,2510
"9","Arc de triomphe du Carrousel, Paris","4084","0 Rue Pasteur, Saint-Ouen","09/03/2016 - 10/01/2016, Every day, Daily Average",1338,922,1941
"9","Arc de triomphe du Carrousel, Paris","4133","0 Rue du Pavé, Tremblay-en-France","09/03/2016 - 10/01/2016, Every day, Daily Average",2727,2013,3692
"9","Arc de triomphe du Carrousel, Paris","4138","0 Avenue de la République, Villemomble","09/03/2016 - 10/01/2016, Every day, Daily Average",1826,1409,2365
"9","Arc de triomphe du Carrousel, Paris","4139","0 Rue Denfert Rochereau, Villemomble","09/03/2016 - 10/01/2016, Every day, Daily Average",1831,1467,2284
"9","Arc de triomphe du Carrousel, Paris","4141","0 Allée du Plateau, Villemomble","09/03/2016 - 10/01/2016, Every day, Daily Average",1798,1363,2371
"9","Arc de triomphe du Carrousel, Paris","4142","0 Avenue de Rosny, Villemomble","09/03/2016 - 10/01/2016, Every day, Daily Average",1817,1358,2430
"9","Arc de triomphe du Carrousel, Paris","4145","0 Rue de la Procession, Villemomble","09/03/2016 - 10/01/2016, Every day, Daily Average",1722,1383,2143
"9","Arc de triomphe du Carrousel, Paris","4150","Unnamed Road, Villepinte","09/03/2016 - 10/01/2016, Every day, Daily Average",2705,2106,3474
"9","Arc de triomphe du Carrousel, Paris","4171","0 Rue Voltaire, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1286,1010,1637
"9","Arc de triomphe du Carrousel, Paris","4172","Rue Félix Mothiron, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1351,1005,1815
"9","Arc de triomphe du Carrousel, Paris","4173","0 Quai Jean Baptiste Clément, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1435,1126,1828
"9","Arc de triomphe du Carrousel, Paris","4174","0 Rue Volta, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1310,993,1726
"9","Arc de triomphe du Carrousel, Paris","4176","0 Rue Marcel Buge, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1079,855,1361
"9","Arc de triomphe du Carrousel, Paris","4177","0 Rue des Pivoines, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1373,1033,1824
"9","Arc de triomphe du Carrousel, Paris","4178","0 Rue du Maréchal de Lattre de Tassigny, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1161,905,1488
