Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
1116,"Harborwalk, Waterfront, Boston",825,"1400 Commonwealth Avenue, West Newton, Newton","07/31/2016 - 08/28/2016, Weekdays, Midday",1716,1132,2599,20962
1116,"Harborwalk, Waterfront, Boston",826,"0 Abbott Avenue, Everett","07/31/2016 - 08/28/2016, Weekdays, Midday",1195,820,1740,12412
1116,"Harborwalk, Waterfront, Boston",827,"0 Randlett Park, West Newton, Newton","07/31/2016 - 08/28/2016, Weekdays, Midday",1238,899,1703,16909
1116,"Harborwalk, Waterfront, Boston",828,"100 Bacon Street, Natick","07/31/2016 - 08/28/2016, Weekdays, Midday",2405,1968,2938,32928
1116,"Harborwalk, Waterfront, Boston",830,"C Street, Natick","07/31/2016 - 08/28/2016, Weekdays, Midday",1871,1367,2560,38005
1116,"Harborwalk, Waterfront, Boston",831,"0 Woodland Road, Stoneham","07/31/2016 - 08/28/2016, Weekdays, Midday",765,482,1213,13578
1116,"Harborwalk, Waterfront, Boston",832,"0 Rodgers Road, Stoneham","07/31/2016 - 08/28/2016, Weekdays, Midday",960,654,1408,17655
1116,"Harborwalk, Waterfront, Boston",833,"300 Highland Avenue, Winchester","07/31/2016 - 08/28/2016, Weekdays, Midday",1116,784,1587,13676
1116,"Harborwalk, Waterfront, Boston",834,"0 Orchard Street, Medford","07/31/2016 - 08/28/2016, Weekdays, Midday",880,581,1330,10767
1116,"Harborwalk, Waterfront, Boston",835,"0 Marston Street, Medford","07/31/2016 - 08/28/2016, Weekdays, Midday",740,463,1182,10894
1116,"Harborwalk, Waterfront, Boston",836,"100 Central Avenue, Medford","07/31/2016 - 08/28/2016, Weekdays, Midday",621,361,1065,9812
1116,"Harborwalk, Waterfront, Boston",837,"0 Mc Cormack Avenue, Medford","07/31/2016 - 08/28/2016, Weekdays, Midday",867,533,1407,11082
1116,"Harborwalk, Waterfront, Boston",838,"100 West Street, Malden","07/31/2016 - 08/28/2016, Weekdays, Midday",979,694,1380,10778
1116,"Harborwalk, Waterfront, Boston",839,"0 Webber Street, Malden","07/31/2016 - 08/28/2016, Weekdays, Midday",1549,1074,2232,15763
1116,"Harborwalk, Waterfront, Boston",840,"0 Hamilton Road, West Somerville, Somerville","07/31/2016 - 08/28/2016, Weekdays, Midday",951,658,1372,11738
1116,"Harborwalk, Waterfront, Boston",843,"0 Upham Street, Highlands, Lowell","07/31/2016 - 08/28/2016, Weekdays, Midday",2276,1757,2947,46320
1116,"Harborwalk, Waterfront, Boston",846,"0 Beacham Street, Everett","07/31/2016 - 08/28/2016, Weekdays, Midday",880,623,1242,6453
1116,"Harborwalk, Waterfront, Boston",847,"100 Sycamore Street, Winter Hill, Somerville","07/31/2016 - 08/28/2016, Weekdays, Midday",791,535,1168,7150
1116,"Harborwalk, Waterfront, Boston",848,"0 Wallace Street, Tufts, Somerville","07/31/2016 - 08/28/2016, Weekdays, Midday",1169,881,1550,9236
1116,"Harborwalk, Waterfront, Boston",851,"100 Groton Road, North Chelmsford, Chelmsford","07/31/2016 - 08/28/2016, Weekdays, Midday",2648,1893,3702,53780
1116,"Harborwalk, Waterfront, Boston",856,"400 Commonwealth Avenue, Back Bay, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",680,408,1131,5695
1116,"Harborwalk, Waterfront, Boston",857,"100 Norway Street, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",830,508,1355,6708
1116,"Harborwalk, Waterfront, Boston",861,"0 South Waverly Street, Brighton, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",936,619,1413,10378
1116,"Harborwalk, Waterfront, Boston",862,"0 Atkins Street, Brighton, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1017,708,1460,14865
1116,"Harborwalk, Waterfront, Boston",863,"0 Strathmore Road, Brighton, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1516,1193,1925,15183
1116,"Harborwalk, Waterfront, Boston",864,"0 Dustin Street, Brighton, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1351,1017,1793,10712
1116,"Harborwalk, Waterfront, Boston",865,"0 Bellvista Road, Brighton, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1426,1083,1876,9542
1116,"Harborwalk, Waterfront, Boston",866,"0 Braintree Street, Allston, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",996,683,1451,9562
1116,"Harborwalk, Waterfront, Boston",867,"0 Barry Street, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1619,1151,2276,11783
1116,"Harborwalk, Waterfront, Boston",868,"100 Whitfield Street, Dorchester, Dorchester Center, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1884,1361,2607,13825
1116,"Harborwalk, Waterfront, Boston",869,"0 Wales Street, Roxbury, Dorchester Center, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1933,1466,2548,13103
1116,"Harborwalk, Waterfront, Boston",870,"0 Willowwood Street, Mattapan, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1893,1366,2621,18939
1116,"Harborwalk, Waterfront, Boston",871,"0 Chipman Street, Dorchester, Dorchester Center, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1873,1351,2596,17891
1116,"Harborwalk, Waterfront, Boston",872,"Southeast Expressway, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1241,781,1970,16746
1116,"Harborwalk, Waterfront, Boston",873,"100 Manchester Street, Mattapan, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1730,1271,2353,17297
1116,"Harborwalk, Waterfront, Boston",874,"0 Outlook Road, Wellington Hill, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",2085,1545,2812,19461
1116,"Harborwalk, Waterfront, Boston",875,"200 Hyde Park Avenue, Jamaica Plain, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1872,1495,2342,14351
1116,"Harborwalk, Waterfront, Boston",876,"100 Neponset Avenue, Roslindale, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",2070,1695,2526,15557
1116,"Harborwalk, Waterfront, Boston",877,"0 Eliot Street, Jamaica Plain, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1392,1066,1817,12475
1116,"Harborwalk, Waterfront, Boston",878,"200 Public Alley 432, Back Bay, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",796,517,1223,4971
1116,"Harborwalk, Waterfront, Boston",879,"0 River Street Place, Beacon Hill, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",424,221,810,3424
1116,"Harborwalk, Waterfront, Boston",880,"100 Charles Street, Beacon Hill, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",412,225,753,3226
1116,"Harborwalk, Waterfront, Boston",881,"0 Stillman Street, North End, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",208,86,500,1124
1116,"Harborwalk, Waterfront, Boston",882,"200 Hanover Street, North End, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",129,41,402,967
1116,"Harborwalk, Waterfront, Boston",883,"200 Seaport Boulevard, Seaport District, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",537,296,973,3934
1116,"Harborwalk, Waterfront, Boston",884,"South Boston Bypass, South Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",605,351,1042,4122
1116,"Harborwalk, Waterfront, Boston",885,"100 Summer Street, Downtown, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",263,116,596,2273
1116,"Harborwalk, Waterfront, Boston",886,"0 Malden Street, South End, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",650,342,1232,4232
1116,"Harborwalk, Waterfront, Boston",887,"0 Mount Pleasant Terrace, Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1139,752,1724,9278
1116,"Harborwalk, Waterfront, Boston",888,"133100 Vernon Street, Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1127,822,1543,7977
1116,"Harborwalk, Waterfront, Boston",889,"100 Fisher Avenue, Mission Hill, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1302,933,1815,8644
1116,"Harborwalk, Waterfront, Boston",890,"0 Jamaica Street, Jamaica Plain, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1677,1329,2115,12977
1116,"Harborwalk, Waterfront, Boston",891,"0 Stedman Street, Jamaica Plain, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1701,1270,2277,11255
1116,"Harborwalk, Waterfront, Boston",892,"200 Chestnut Avenue, Jamaica Plain, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1406,1057,1869,11420
1116,"Harborwalk, Waterfront, Boston",893,"0 Hastings Street, West Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1877,1509,2333,16616
1116,"Harborwalk, Waterfront, Boston",894,"0 Wren Street, West Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",2077,1649,2615,16484
1116,"Harborwalk, Waterfront, Boston",895,"0 Edson Street, Hyde Park, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",2102,1810,2440,25965
1116,"Harborwalk, Waterfront, Boston",896,"300 Columbia Street, Wellington-Harrington, Cambridge","07/31/2016 - 08/28/2016, Weekdays, Midday",1060,758,1480,4848
1116,"Harborwalk, Waterfront, Boston",898,"0 Webster Street, Hyde Park, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",2317,2130,2519,24309
1116,"Harborwalk, Waterfront, Boston",899,"0 Watts Street, Chelsea","07/31/2016 - 08/28/2016, Weekdays, Midday",832,517,1337,7311
1116,"Harborwalk, Waterfront, Boston",900,"0 Boatswains Way, Chelsea","07/31/2016 - 08/28/2016, Weekdays, Midday",583,321,1055,6362
1116,"Harborwalk, Waterfront, Boston",901,"0 Willoughby Street, Chelsea","07/31/2016 - 08/28/2016, Weekdays, Midday",909,599,1379,9903
1116,"Harborwalk, Waterfront, Boston",902,"0 Centre Street, Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1298,960,1754,9017
1116,"Harborwalk, Waterfront, Boston",903,"0 Gaston Street, Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1595,1183,2150,10763
1116,"Harborwalk, Waterfront, Boston",904,"0 Wolcott Street, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1783,1325,2398,13012
1116,"Harborwalk, Waterfront, Boston",905,"100 Geneva Avenue, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1714,1228,2390,11948
1116,"Harborwalk, Waterfront, Boston",906,"0 Romsey Circle, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1028,580,1819,10220
1116,"Harborwalk, Waterfront, Boston",907,"0 Gene Street, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1257,813,1943,10737
1116,"Harborwalk, Waterfront, Boston",908,"0 Monadnock Street, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1407,956,2070,10415
1116,"Harborwalk, Waterfront, Boston",909,"500 Squire Road, Revere","07/31/2016 - 08/28/2016, Weekdays, Midday",958,622,1474,12256
1116,"Harborwalk, Waterfront, Boston",911,"200 Garfield Avenue, Revere","07/31/2016 - 08/28/2016, Weekdays, Midday",774,496,1206,11941
1116,"Harborwalk, Waterfront, Boston",912,"100 Crest Avenue, Revere","07/31/2016 - 08/28/2016, Weekdays, Midday",979,707,1354,12664
1116,"Harborwalk, Waterfront, Boston",913,"0 Petrel Street, Winthrop","07/31/2016 - 08/28/2016, Weekdays, Midday",1266,946,1694,17566
1116,"Harborwalk, Waterfront, Boston",915,"Head Island Causeway, South Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",992,635,1547,5967
1116,"Harborwalk, Waterfront, Boston",916,"0 Lee Burbank Highway, Revere","07/31/2016 - 08/28/2016, Weekdays, Midday",667,403,1102,12009
1116,"Harborwalk, Waterfront, Boston",917,"Emerald Necklace, Jamaica Plain, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",855,518,1409,10235
1116,"Harborwalk, Waterfront, Boston",927,"0 Mill River Drive, Weymouth","07/31/2016 - 08/28/2016, Weekdays, Midday",2212,1503,3253,30689
1116,"Harborwalk, Waterfront, Boston",930,"0 Constitution Avenue, Revere","07/31/2016 - 08/28/2016, Weekdays, Midday",822,518,1303,12660
1116,"Harborwalk, Waterfront, Boston",944,"100 Cliff Road, Wellesley Hills, Wellesley","07/31/2016 - 08/28/2016, Weekdays, Midday",1751,1419,2159,26266
1116,"Harborwalk, Waterfront, Boston",945,"0 Depot Road, Harvard","07/31/2016 - 08/28/2016, Weekdays, Midday",3188,2468,4117,56580
