Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
1116,"Harborwalk, Waterfront, Boston",984,"0 D'Orlando Way, Danvers","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2256,1763,2886,30475
1116,"Harborwalk, Waterfront, Boston",986,"0 Harvard Avenue, West Medford, Medford","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1228,859,1754,11071
1116,"Harborwalk, Waterfront, Boston",995,"200 Billerica Road, Chelmsford","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2267,1797,2859,44988
1116,"Harborwalk, Waterfront, Boston",998,"0 Evergreen Avenue, Burlington","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1952,1514,2516,29671
1116,"Harborwalk, Waterfront, Boston",999,"100 Main Street, Wakefield","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1545,1133,2105,23216
1116,"Harborwalk, Waterfront, Boston",1000,"0 Centre Street, Malden","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1441,1088,1907,10149
1116,"Harborwalk, Waterfront, Boston",1001,"0 Sargent Street, Malden","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1439,1062,1948,13702
1116,"Harborwalk, Waterfront, Boston",1002,"500 Assembly Row, Somerville","07/31/2016 - 08/28/2016, Weekdays, PM Peak",603,357,1017,6455
1116,"Harborwalk, Waterfront, Boston",1003,"0 Packard Avenue, Tufts, Somerville","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1432,1072,1911,12605
1116,"Harborwalk, Waterfront, Boston",1004,"0 Linden Avenue, Spring Hill, Somerville","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1348,1006,1805,8999
1116,"Harborwalk, Waterfront, Boston",1005,"100 Sidney Street, Cambridgeport, Cambridge","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1187,816,1725,6812
1116,"Harborwalk, Waterfront, Boston",1006,"0 Gray Gardens East, Neighborhood Nine, Cambridge","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1666,1256,2208,13224
1116,"Harborwalk, Waterfront, Boston",1007,"0 Young Street, Lexington","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2047,1595,2627,19474
1116,"Harborwalk, Waterfront, Boston",1010,"0 Coolidge Hill Road, Watertown","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1412,1013,1966,13416
1116,"Harborwalk, Waterfront, Boston",1011,"0 Burdean Road, Oak Hill, Newton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2145,1708,2693,17485
1116,"Harborwalk, Waterfront, Boston",1012,"0 Wilde Road, Waban, Newton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2028,1558,2638,21651
